排序,標題,縣市,區域,類別,備註,推薦者,搜尋連結,詳細地址,原始地址,評價,評論數,消費金額,標記刪除,商店網址,緯度,經度,flag,分享連結,flag2
1,ANNIES HAIR,台北市,信義區,髮廊,https://www.threads.com/@xunxunbaby,,https://maps.app.goo.gl/cxNvdU5mBPjy3Tig8,忠孝東路五段71巷11弄3號1樓,110台北市信義區忠孝東路五段71巷11弄3號1樓,4.6,84,,,,25.0420353,121.5676011,,https://maps.app.goo.gl/cxNvdU5mBPjy3Tig8,
2,吉祥茶業,台北市,中山區,茶葉店,,,https://maps.app.goo.gl/Rq2zg2XB6k89om5o6,10491 渭水路中山區台北市18號1樓,"1樓, No. 18號渭水路中山區台北市10491",4.8,24,,,,25.0456279,121.5339021,,https://maps.app.goo.gl/Rq2zg2XB6k89om5o6,
3,悠遊美甲工作室 Yu Nail It | 中永和美甲,新北市,永和區,指甲腳甲修飾專門店,老闆是雙和罷免志工,,"https://www.google.com/maps/search/%E6%82%A0%E9%81%8A%E7%BE%8E%E7%94%B2%E5%B7%A5%E4%BD%9C%E5%AE%A4+Yu+Nail+It+%7C+%E4%B8%AD%E6%B0%B8%E5%92%8C%E7%BE%8E%E7%94%B2+%E5%9B%9B%E7%B6%AD%E8%A1%9785%E8%99%9F3%E6%A8%93/@24.5861201,120.3918129,9z/data=!3m1!4b1?entry=ttu&g_ep=EgoyMDI1MDkyMy4wIKXMDSoASAFQAw%3D%3D",四維街85號3樓,234新北市永和區四維街85號3樓,5,42,,,,24.9979193,121.5246754,,,
4,開飯川食堂 小碧潭店,新北市,新店區,四川料理,,,https://maps.app.goo.gl/Wr2XmUsRVqiVjA6B6,中央路157號京站時尚廣場5樓,231602新北市新店區中央路157號京站時尚廣場5樓,4.3,765,$600-800,,,24.9723512,121.5307121,,https://maps.app.goo.gl/Wr2XmUsRVqiVjA6B6,
6,摩斯漢堡- 興隆店,台北市,文山區,漢堡飽,,,https://maps.app.goo.gl/ghrLeGr32GZdHzjm9,興隆路三段44號,116台北市文山區興隆路三段44號,3.6,638,$1-200,,,25.000261,121.5556421,,https://maps.app.goo.gl/ghrLeGr32GZdHzjm9,
7,當用模型店,高雄市,三民區,模型店,,,https://maps.app.goo.gl/ZhRTpjJST1k9CZP56,807台灣三民區自立一路135號,807台灣三民區自立一路135號,4.5,54,,,,22.6384449,120.2960292,,https://maps.app.goo.gl/ZhRTpjJST1k9CZP56,
8,觀心圓養生餐廳,高雄市,新興區,長壽飲食,,,https://maps.app.goo.gl/VcmDEUHiaNppprm48,洛陽街75-1號,800高雄市新興區洛陽街75-1號,4.7,60,$600-800,,,22.6344716,120.308946,,https://maps.app.goo.gl/VcmDEUHiaNppprm48,
9,舊派,高雄市,新興區,冰品飲料店,闆是也是台派🤝,,https://maps.app.goo.gl/TUQgmhnWXQsC2CYbA,忠孝一路281號鉄井家樓上3樓,800高雄市新興區忠孝一路281號鉄井家樓上3樓,4.9,26,$1-200,,,22.6321039,120.3060177,,https://maps.app.goo.gl/TUQgmhnWXQsC2CYbA,
10,逍遙園,高雄市,新興區,歷史建築,,,https://maps.app.goo.gl/Lo9df9GRcjtsb72f8,六合一路55巷15號錦田路為入口處,800高雄市新興區六合一路55巷15號錦田路為入口處,4.5,"3,711",,,,22.6317765,120.3097146,,https://maps.app.goo.gl/Lo9df9GRcjtsb72f8,
11,麥田屋 蕎麥麵專賣 X 日式關東煮,高雄市,三民區,永久歇業,老闆傑哥有大智慧，很有料，東西也好吃,,https://maps.app.goo.gl/QFaztmsx95Pyy4nA7,中山一路303號補習班側門求精,807高雄市三民區中山一路303號補習班側門求精,5,13,,,,22.6369393,120.3021161,,https://maps.app.goo.gl/QFaztmsx95Pyy4nA7,
